timestamp,active_window,highlight,ocr_text
2026-06-14T20:55:56,data store - File Explorer,me uasere a | > + © SDIKDI melon amn plata ee a | @Q@ @ OB Wson-~ BVew- ve OD Preview | - ‘Date mediied Te ‘Sze | asactve omnes 708 | conmuted —pomsen,me uasere a | > + © SDIKDI melon amn plata ee a | @Q@ @ OB Wson-~ BVew- ve OD Preview | - ‘Date mediied Te ‘Sze | asactve omnes 708 | conmuted —pomsenatie St | asacivt omnes 708 | veesoctni poms b | saeeaatne —ominete 38 | b svasactne? emt $8 | > @omoive [Wrecsonnay esos 1s57etdoamen 1] | DOnza | ater med | a eeleey oe
2026-06-14T20:56:48,activity_log - Excel,No readable content found.,
2026-06-14T20:56:49,activity_log - Excel,No readable content found.,
2026-06-14T20:56:50,activity_log - Excel,No readable content found.,
2026-06-14T20:56:51,activity_log - Excel,ano OX Prk ore = @amcooge) se GE | vote ag om LF || aS a8 PP me Se esta | fPAAtonadvert:>| Dhara Tae Re | | = @Pyoite QaKe scom 6 @ |v $23 20 let Voic,"ano OX Prk ore = @amcooge) se GE | vote ag om LF || aS a8 PP me Se esta | fPAAtonadvert:>| Dhara Tae Re | | = @Pyoite QaKe scom 6 @ |v $23 20 let Voice Dictation | GD Feta | © Comte 0 oops) ve OVE | = Pyne og scm 6 @ | est Voie Dc ins AR Aedes > orale | tem ¥F Comer Contemar cat is mate aptom 0 | up Fastest oie Dictation wa Pep Gul... | utubeb€ 2 om LF @ | | Fastest Voie Deaton | Lenny 3 | onary HOALINS |= youlsed,€a.|#5)Comet ce. ene rman at | om) 6 A O.Tmber_s | ane OX | WoKGemisi |x > AO youtube connetchiC""j Daud Ch Bakeooge OY GE [aeogae tg | at | Tbe Mag com @ | UE Char PV Fa i = utd? 743 | a2 | cmt a 0 ecommerce Ons | YouTube 15 | @A> PREMIER LEAGUE i Fostestoce Morten FA Bstowaen | Comte AO Co san 3 1 | => 6 & youtube comfuat=joDaUua Matcooge x7 |= youtube 2+ | Comte AO Co wane OX"" | 8 | a) Fasten Vice Dictation Vane | OD mes> | FIA | Comte ~ Com tenyPepemin [8 = (@youubes€ | 3 APF UME Sg: | Lenya Pep Guar. | mar | @ ov SID C= 40 == a: | aGUSTA | Conte RO Comtenny ren Gono OX +Phemns | AO > match is Giskeoage) 6 | (@Yousedt Qn Ae | tat |B @> PREMIER LEAGUE i Fatestoce Dictation | Pos Cs layed Won) TomMars20 A | Pyutbe= Pye | Lenny Pep Gurls... Ge Morese | FAS ak owen on | © Comte AB Co . Noa | Sake “Yeu 3 Dictation |_spptamay,THEMOST | == | su | Tum at |wteoba.* a | mes Pov TACED GD = Gey veer | HBQDGE | tity og"
2026-06-14T20:56:52,activity_log - Excel,No readable content found.,
2026-06-14T20:56:53,activity_log - Excel,Q080G0°8 meuwGCera AO 9 NOHO oso #,Q080G0°8 meuwGCera AO 9 NOHO oso #
2026-06-14T20:56:54,,% | © Uptep Mentor xt Phkemins = 0 x | mx DIF: | Q Search for people | You are presenting INTHE MEETING | BA Beare et turer ens reed | Sea) aes 1 sen ,% | © Uptep Mentor xt Phkemins = 0 x | mx DIF: | Q Search for people | You are presenting INTHE MEETING | BA Beare et turer ens reed | Sea) aes 1 sen : | || Sohom Monde! : | AGEEEI op 8 | € ¢ ‘Anwesha Sengupta RoE | @D snireectaratacna. Q : | wave a | > 906 rae
2026-06-14T20:56:56,Laptop Monitor - Google Chrome,x | @ Meet-op-e © % | B AMres- croqcon % © Uptep Mentor x + + Ask Gemini x | © © tecahostso00 Be oF | @ Laptop MONITOR e we | 5 5 P 5 $5 metanoieco | ,x | @ Meet-op-e © % | B AMres- croqcon % © Uptep Mentor x + + Ask Gemini x | © © tecahostso00 Be oF | @ Laptop MONITOR e we | 5 5 P 5 $5 metanoieco | (pian mentoring x|© D> ThsPC> Windows{Q > __Imoplonmentomg x +> 1.0 > Thee| {© LAPTOP MONITOR | B0NGE200% ome SCRE A909 ¢mptiaor | appclon meting >| @ @ OF Nene ve | Edom #| Dowoeds #8 damens + [moncone Beaty + |te 00 none & sppcon | Name | Bocames € Rew | ass 6 Micw. [rg ‘pia [me ene [> cee ae Name
2026-06-14T20:56:57,Laptop Monitor - Google Chrome,Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor w+ Phkemins OX | € > SO eathosts000 mx DIF): | @ Laptop MONITOR ‘Adorcheshin2s | ,"Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor w+ Phkemins OX | € > SO eathosts000 mx DIF): | @ Laptop MONITOR ‘Adorcheshin2s | Tot apres 9688 | | ‘Search window ties, highlights, OCR tex | 5S 15 metgzogecon eax | soem ond eu peering) | sppeation monitoring Fe per Laptop Mentor sppatin montorng Fe poe a | ( ploon mentoring x] © 0> TFC > Windowse)> | tmoptaonmentorng x + |©> 10 © > There| (@ LAPTOP MONITOR | 800GE200KP oma SCRE AIG ¢mpliaon | _appcon menting > | @ @ OF Nene ve Edom #| Domed #|8idiomens + |moncone # Beaty + |te | 000 none & 2ppcon | ‘Name Bocemes ¢ Rew | ass 6 Mscw.o3 19 eptp mone | means amsine|>mcesme cant Bt Name 8 | econcne ‘mont econene"
